sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
1,Lay's Chips,Milk Chocolate,Lay's,Confectionery,"Flour, Butter, Sugar",Carbohydrate,No,None,200g per day,Yes (Occasional),Yes (Occasional),No,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
2,Britannia Biscuits,Milk,Coca-Cola,Snacks,"Milk Chocolate, Sugar",Dairy,No,Chemical Additives,100g per day,Yes,Yes (Occasional),Yes (Occasional),High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
3,Coca-Cola Classic,Milk,Nestle,Snacks,"Potatoes, Oil, Salt",Dairy,No,Allergen Content,200g per day,Yes,Yes,No,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
4,Coca-Cola Classic,Milk,Coca-Cola,Beverages,"Milk, Sugar, Culture",Carbohydrate,Yes,High Sodium,100g per day,Yes (Occasional),No,Yes (Occasional),Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,USA,14 days from packing
5,Coca-Cola Classic,Milk Chocolate,Amul,Confectionery,"Milk, Sugar, Culture",Carbohydrate,No,None,200g per day,Yes,Yes,Yes (Occasional),Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
6,McCain French Fries,Milk,Haldiram's,Beverages,"Carbonated Water, Sugar",Additive,No,Chemical Additives,As Desired,Yes (Occasional),Yes,Yes (Occasional),High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
7,Coca-Cola Classic,Milk,Nestle,Frozen Foods,"Milk Chocolate, Sugar",Additive,Yes,None,200g per day,Limited,No,Yes (Occasional),High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Australia,7 days from packing
8,Epigamia Greek Yogurt,Milk,Amul,Frozen Foods,"Milk Chocolate, Sugar",Sweetener,Yes,High Sodium,200g per day,Yes (Occasional),Yes (Occasional),No,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Mexico,5 days from packing
9,McCain French Fries,Potatoes,Haldiram's,Beverages,"Flour, Butter, Sugar",Additive,No,High Sodium,100g per day,Yes (Occasional),Yes,No,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Canada,14 days from packing
10,McCain French Fries,Milk,Lay's,Dairy Products,"Potatoes, Oil, Salt",Additive,Yes,None,100g per day,No,No,Yes,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
